Story Heading,Story Excerpt,Timestamp,Section
"Buzdar is the best choice as CM, says Ejaz","“Still, search for better is always there,” Ejaz Chaudhry adds.","04 Jan, 2020 10:52am",Pakistan
"AC, team ‘thrashed’ during raid at PTI MNA’s wedding over violations",The AC raided farmhouse along with other officers on reports of violation of Marriage Act at the wedding ceremony.,"04 Jan, 2020 11:08am",Pakistan
Nawaz exempted from personal appearance in sugar mills case,"Remands of Yousaf Shahbaz, Hamza extended.","04 Jan, 2020 11:09am",Pakistan
Sales meter stations to be set up to overcome low gas pressure,SNGPL says at least three sales meter stations will be constructed at a cost of Rs5.7 billion.,"04 Jan, 2020 10:49am",Pakistan
Three-year-old taken out alive after 21 hours from Sukkur building debris,Several persons still trapped under the rubble; death toll rises to six.,"04 Jan, 2020 10:11am",Pakistan
"Academician, writer Abdul Hameed Sindhi passes away",The late Sindhi established the forum Bazm-i-Rooh Rehan to hold different literary gatherings regularly.,"04 Jan, 2020 10:16am",Pakistan
KE denies increase of Rs4 in consumers’ bills,“As per procedure any increase is spread over a period of months so as to alleviate any burden on the end consumer.”,"04 Jan, 2020 10:18am",Pakistan
Naqvi claims Sindh govt hid audit report to ‘hide’ failures,"""Instead of lasting 20 years, new roads are damaged within a year.""","04 Jan, 2020 10:21am",Pakistan
Murad orders completion of Orange Line project in three months,"CM wants buses of uniform design to operate on Green, Orange lines.","04 Jan, 2020 10:36am",Pakistan
Pakistan’s Asad Memon set to climb highest mountain in South America,The 22-year-old is set to climb highest mountain in South America as part of “Seven Summit Challenge”.,"04 Jan, 2020 12:38pm",Newspaper
Kulusevski could have more of an impact than Ibrahimovic,"Kulusevski signed a 4½-year contract, becoming the second-most expensive player born this millennium.","04 Jan, 2020 12:13pm",Newspaper
South Africa on top as England labour with the bat,"Pace bowler Nortje, playing his fourth Test, finished with 2-54 off 17 overs.","04 Jan, 2020 12:05pm",Newspaper
Prolific Labuschagne leads Aussies to 283-3 on first day,"Labuschagne shared a 156-run partnership with Steve Smith, who made 63, to give first day honours to Australia.","04 Jan, 2020 12:11pm",Newspaper
Gwadar fishermen warn of ‘jail bharo movement’,The local fishing community has suffered huge losses as massive sea tide destroyed a large number of vessels.,"04 Jan, 2020 09:03am",Pakistan
"Pakistan, Iran to boost trade relations",Agreement reached for stopping illegal supply of Iranian diesel and checking terrorism.,"04 Jan, 2020 08:49am",Newspaper
Sanjrani asks FM to brief Senate on ME developments on Monday,"Govt in process of internal consultation to prepare reaction to Iranian commander’s killing, upper house told.","04 Jan, 2020 08:48am",Pakistan
Petition against lawyer’s detention admitted for hearing,Defence ministry says advocate Rahim was taken into custody under the Pakistan Army Act.,"04 Jan, 2020 08:41am",Pakistan
Govt officers urged to use social media responsibly,SAPM Awan says role of information officers is highly significant in disseminating information about policies.,"04 Jan, 2020 08:38am",Pakistan
Women members of KP assembly briefed on Ehsaas programme,Sania says socio-economic registry survey will begin in the province soon.,"04 Jan, 2020 08:35am",Pakistan
Qatar’s emir permitted to export falcons from Pakistan,Hunters need to change their aged falcons with younger ones that could hunt houbara bustard more efficiently.,"04 Jan, 2020 08:07am",Pakistan
"Poor soil health to hit food, water security: expert","Much of the problem is caused by erosion, which strips away the highly fertile top layer of soil.","04 Jan, 2020 08:30am",Newspaper
Tens of thousands protest against citizenship law in India,"Imran assails world’s silence over ""state terrorism"".","04 Jan, 2020 08:22am",Newspaper
"Job creation, development are govt priorities: PM","Imran performs groundbreaking ceremony of industrial city in Faisalabad, inaugurates shelter home.","04 Jan, 2020 08:16am",Pakistan
IHC frames questions over scope of president’s powers,IHC Chief Justice directs the law and justice secretary to ensure that written comments are filed within a fortnight.,"04 Jan, 2020 07:48am",Pakistan
Iran abandons nuclear deal over US killing general,Statement by President Hassan Rouhani's administration says the country will not observe limitations on its enrichment.,"05 Jan, 2020 11:39pm",World
Mubashir Luqman moves to register FIR against Fawad Chaudhry following physical altercation,"""There was a scuffle that broke out. A small fight broke out,"" says the federal minister.","06 Jan, 2020 11:41pm",
Iraq parliament demands US troop ouster after Soleimani killing,Caretaker PM Adel Abdel Mahdi attends extraordinary session to slam the US strike as a “political assassination.”,"05 Jan, 2020 09:00pm",
Sikh youth shot dead in Peshawar,Police say the motive behind the incident has not been determined but further investigations are under way.,"05 Jan, 2020 07:43pm",Pakistan
At least 30 killed in Libya military academy attack,Tripoli is facing an offensive by military commander Khalifa Haftar’s Libyan National Army that began in April.,"05 Jan, 2020 06:13pm",World
Rose McGowan defends tweet apologising to Iran after airstrike,"“I don’t support Iran over America. I want America to be better,” said McGowan in response to the backlash.","05 Jan, 2020 05:18pm",World
Pakistan will play its role in maintaining peace in region: Awan,Says foreign minister will brief Senate on Monday regarding the govt's stance on recent developments in the region.,"05 Jan, 2020 05:00pm",Pakistan
Qasem Soleimani's body returned to Iran,"Many Iranians have rallied to grieve the death of Soleimani, while others worry his death may push the country to war.","05 Jan, 2020 03:41pm",World
