Story Heading,Story Excerpt,Timestamp,Section
Newspaper,Betting on expatriates — once again,Market players don’t expect an overwhelming response from overseas Pakistanis to the Roshan Digital Account scheme.,"24 Aug, 2020 10:57am"
World,"Russia says medics to get anti-Covid shots in two weeks, rejects 'groundless' safety concerns",The vaccine has not yet completed its final trials and some scientists fear Moscow may be putting national prestige before safety.,"12 Aug, 2020 02:42pm"
Pakistan,7 killed in rain-related incidents as yet another monsoon spell brings more devastation to Karachi,"According to the Met department, the highest volume of rainfall, 185.7mm, was recorded in Surjani Town.","21 Aug, 2020 10:34pm"
Pakistan,Seven held for torturing robbers in Mansehra,"According to witnesses, the two youngsters were captured by a group of people after they stole tyres from a shop in Battle area.","09 Aug, 2020 11:53am"
Pakistan,"Schools in KP to open today for admin, teaching staff",Move meant to make preparations for resumption of classes next month.,"06 Aug, 2020 11:39am"
World,Afghan women's rights trailblazer survives gun attack,"Fawzia Koofi, a former member of parliament and strong critic of the Taliban, was shot in her right hand.","16 Aug, 2020 03:25pm"
Pakistan,Life in PTI's social media bubble,Many feel PTI's insistence on promoting a ‘positive image’ on digital media for building its brand seems divorced from reality.,"16 Aug, 2020 11:57am"
Pakistan,KP govt embarrassed in PA as depts fail to respond to queries,"Chair warns if depts don’t mend ways, he’ll call chief secy to assembly.","04 Aug, 2020 11:55am"
Newspaper,"Salim Malik blasts PCB, slams Rashid Latif for playing ‘dirty’ with players","Salim says Rashid Latif ""sacrificed the entire Pakistan team"" for the sake of captaincy.","19 Aug, 2020 11:05am"
Pakistan,"I want to talk about overcoming coronavirus to give people hope, says Rubina Ashraf","The actor turned director talks about depression and Covid-19, the nepotism debated stirred up by Ruswai and future projects.","17 Aug, 2020 03:43pm"
Pakistan,"‘Risking our lives’: Students in Gilgit, KP climb mountains, trek miles to attend online classes","“Online classes have started, but there is no relief for students living in remote and hilly areas,” says one student.","21 Aug, 2020 03:58pm"
Newspaper,China-US ties plunge further over Hong Kong sanctions,"US sanctions group of Chinese, Hong Kong officials; China criticises the sanctions as “barbarous and rude”.","09 Aug, 2020 10:27am"
Newspaper,Kabul police chief sacked after surge in attacks,Top security official discloses “there will be more changes in the security leadership of Kabul soon.”,"24 Aug, 2020 08:53am"
Pakistan,Pims decides to restart biometric attendance from today,The biometric attendance system was suspended in the first week of March in the wake of the Covid-19 outbreak.,"05 Aug, 2020 12:35pm"
Pakistan,Pakistan's Covid-19 situation better than region's but can worsen if people stop precautions: Umar,"Minister says Pakistan's contact tracing is comparable to South Korea's, terms it ""world-class"".","11 Aug, 2020 01:33pm"
Pakistan,Historic mosque’s manager suspended for music video shoot in Lahore,Punjab govt under pressure to take action by PML-Q and clerics.,"10 Aug, 2020 11:23am"
Pakistan,"Khidmat centres, web portal launched to facilitate builders","Step aimed at simplifying NOC process, boosting construction activities.","01 Aug, 2020 08:04am"
Newspaper,Afghan govt begins releasing last Taliban prisoners,The brother of a man killed in a militant attack says peace is ‘our big dream’.,"15 Aug, 2020 09:19am"
Newspaper,TikTok to sue Trump over crackdown,"""We have no choice but to challenge the executive order through the judicial system,"" TikTok says in a statement.","24 Aug, 2020 10:20am"
Newspaper,Deadlocked WTO fails to agree on appointing interim head,Diplomatic source says straightforward process has been complicated by US “politicisation”.,"01 Aug, 2020 09:35am"
Pakistan,"List of 2,700 officers drawing money from BISP given to Senate body",Officers working in BISP have been terminated from service and cases against them have been referred to FIA.,"08 Aug, 2020 11:50am"
Pakistan,"Karachi police shoot unarmed civilian to death, hurt another near Techno City",DIG-South claims police mistook them as street criminals.,"08 Aug, 2020 11:28am"
Newspaper,Kuwait to rebuild Lebanon’s only large grain silo,"Destruction of the 120,000-tonne capacity structure at the port means buyers must rely on smaller private storage facilities.","24 Aug, 2020 10:32am"
Pakistan,Sindh refutes federal minister’s statement on gas,Imtiaz Sheikh says Sindh produces 64.5 per cent of the total gas production in country.,"12 Aug, 2020 09:42am"
Newspaper,"Virus flare-ups in Europe lead to club closings, mask orders","Some of the toughest new measures were announced in Spain, which has recorded almost 50,000 confirmed cases in the past 14 days.","16 Aug, 2020 10:40am"
Newspaper,Moody’s changes outlook of five banks to stable,Says improvements in operating environment and in sovereign’s credit risk profile could place upward rating pressures.,"12 Aug, 2020 10:11am"
Pakistan,COAS to visit Saudi Arabia in quest to smooth ties,Riyadh is irked by criticism from Pakistan that Saudi Arabia has been lukewarm on the Kashmir territorial dispute.,"13 Aug, 2020 02:09pm"
Pakistan,"Nine killed, 15 injured in rain-related incidents","Witnesses say that though locals had called the police on time, Rescue 1122 started an operation late.","29 Aug, 2020 12:15pm"
Pakistan,SC suspends high court’s order on Fazaia Housing Scheme,Supreme Court bench issues notices to NAB and other respondents.,"07 Aug, 2020 11:56am"
Pakistan,"LG secretary, others held after SHC rejects bail pleas",Bench rules it has not found any malafide intention on the part of NAB officials.,"25 Aug, 2020 10:49am"
World,"Several hurt in Abu Dhabi restaurant blast, police say gas fault likely","According to police, the explosion caused minor and moderate injuries.","31 Aug, 2020 04:01pm"
Newspaper,Pakistan embark on new territory with renewed hopes,"On the English soil, the two sides have met in 54 Tests with home team now enjoying a 24-12 winning run against Pakistan.","13 Aug, 2020 10:54am"
World,SpaceX capsule and Nasa crew make 1st splashdown in 45 years,Return clears the way for another SpaceX crew launch as early as next month and possible tourist flights next year.,"03 Aug, 2020 09:42am"
Newspaper,"Defeat in first Test was shocking, admits Waqar","Bowling coach defends Shadab's performance, terms it ""quite satisfactory"".","13 Aug, 2020 10:43am"
Pakistan,5 unlikely pakora mixes that are actually really good,"Pumpkin pakoras, anyone?","25 Aug, 2020 02:43pm"
Pakistan,‘Zoo animals have not adapted to surviving in the wild’,"Expert on captive wildlife management writes letter to ICT administration, CDA saying idea of releasing animals is ""naive"".","23 Aug, 2020 11:54am"
Pakistan,Metro bus operation resumes,Operation of Speedo intra-city bus also resumes in Lahore under various key precautionary measures.,"13 Aug, 2020 11:35am"
World,"Pompeo to visit Israel and UAE with peace, Iran and China on agenda: sources","Official says White House senior adviser Jared Kushner, Trump’s son-in-law, is expected to travel to Israel and UAE in early Sept.","23 Aug, 2020 02:03pm"
Pakistan,Experts warn of second wave of the coronavirus in Punjab yet again,Minister Ijaz Shah loses brother to coronavirus.,"25 Aug, 2020 11:05am"
Newspaper,Power tariff increased under fuel adjustment charges,Nepra notifies changes in approved tariff for 8 months — from November 2019 to June 2020 — for all power distribution companies.,"09 Aug, 2020 09:06am"
Pakistan,Hours-long protest outside Karachi's CBC ends but residents' concerns remain unresolved,"Five days after record rains, parts of the city remain waterlogged and without power.","01 Sep, 2020 01:35am"
Sport,"England have the right mix to be world's best Test side, says Root","Captain says the attitude of players to keep improving ""gives a great opportunity to get to that number one spot”.","26 Aug, 2020 04:55pm"
Newspaper,PM forms body to facilitate small businesses,Imran Khan says facilitating small investors in construction and other business top-most priority of the government.,"13 Aug, 2020 09:49am"
Newspaper,"Pompeo’s speech from Jerusalem sparks criticism, investigation",Democrats say Pompeo breached protocol by using appointed office for partisan purposes in speaking at the Republican convention.,"27 Aug, 2020 10:48am"
Pakistan,Ex-Fata to get first child court today,PHC CJ to inaugurate Mohmand court online.,"08 Aug, 2020 12:05pm"
Newspaper,Finch eyes 2023 World Cup as career swansong,Australia skipper says pause in cricket has made him more determined to push through to the global tournament.,"20 Aug, 2020 11:02am"
Newspaper,IHC suspends show-cause notice issued to Palestine ambassador,FBR told to return envoy’s car in two weeks.,"21 Aug, 2020 09:43am"
Pakistan,"Thousands of marooned villagers across Kachho belt without food, water for five days",Some 700 houses have been extensively damaged by the deluge forcing their inhabitants to move to safe areas.,"30 Aug, 2020 02:14pm"
Prism,Today's India is living the nightmares of its founding fathers,Aiding and abetting the BJP in its design are some of the so-called independent institutions of democracy.,"31 Aug, 2020 03:37pm"
Pakistan,What actually happened during the clash in Lahore?,The PML-N was torn between the urge to seize the moment and not irk the authorities beyond a certain limit.,"14 Aug, 2020 10:33am"
Pakistan,Protesting tribals in North Waziristan seek permission to harvest chilgoza nut,Officials say a delegation is in Shawal to determine the number of people required for harvest.,"24 Aug, 2020 11:25am"
Newspaper,Deadly sectarian firefight in Lebanon prompts warnings of more trouble,"Machine guns and rocket-propelled grenades were used in the fighting, which witnesses say lasted four hours.","29 Aug, 2020 10:40am"
Newspaper,Opposition questions PM’s absence from ‘briefing’ on Kashmir,Also objects to government’s claim that it was an all-party conference.,"05 Aug, 2020 09:09am"
World,"3 killed, 100 others arrested in India after violence erupts over anti-Islam Facebook post","Pakistan calls upon Indian govt to investigate incident, take immediate action against perpetrators of religious hatred.","13 Aug, 2020 10:24am"
Newspaper,"US, China agree to double flights",Deal marks further easing of standoff between the world’s two biggest economies over travel restrictions imposed during pandemic.,"20 Aug, 2020 10:35am"
Sport,Misbah satisfied with Pakistan's comeback in Southampton Test against England,"""Overall, I’m really happy with the way the team batted, everybody just tried to hang in there and score runs.""","19 Aug, 2020 02:47pm"
Pakistan,Probe ordered into damage caused to Islamabad airport by rain,Aviation Minister Ghulam Sarwar Khan expected to visit airport today.,"17 Aug, 2020 10:25am"
Newspaper,"Israel bombs Gaza, tightens blockade","Witnesses in Gaza say rockets were launched towards the town of Sderot, just across the border.","22 Aug, 2020 09:39am"
Newspaper,"Indian goes on trial for spying on Sikhs, Kashmiris in Germany",He is accused of working for RAW since at least January 2015.,"26 Aug, 2020 08:42am"
World,Muslim man in India attacked with hammer on suspicion of transporting beef: media,Police say one of accused has been arrested.,"02 Aug, 2020 06:48pm"
Pakistan,Rashid says bringing Nawaz  back is no easy task,"Minister calls opposition “dead, tired and rusted” that could not compete with Prime Minister Imran Khan.","23 Aug, 2020 11:59am"
