Story Heading,Story Excerpt,Timestamp,Section
Pakistan,Cracks appear in new building of nursing college in Rahim Yar Khan,SZCN officials have started filling the cracks with cement.,"10 Feb, 2020 09:12am"
,,,
,,,
Newspaper,Tendulkar likens Australia’s Labuschagne to himself,"Labuschagne emerged from nowhere to become Test cricket’s leading scorer last year with 1,104 runs.","08 Feb, 2020 09:26am"
Newspaper,Norway to extradite Muslim preacher to Italy,The 63-year-old Iraqi Kurdish man was arrested in July 2019.,"13 Feb, 2020 09:03am"
,,,
,,,
World,Myth buster: Here's what you're getting wrong about coronavirus,"No, your pets are not giving you the virus.","03 Mar, 2020 06:42pm"
Business,Coronavirus crash wipes $5 trillion off world stocks,Europe's airlines and travel stocks have plunged 18pc in their worst week since the 2001 9/11 attacks.,"28 Feb, 2020 05:04pm"
,,,
Pakistan,Rumour mill churns as Chaudhry Nisar visits London,No indication the estranged PML-N leader will meet Nawaz.,"13 Feb, 2020 08:01am"
Pakistan,PM assures MQM of meeting its ‘genuine’ demands,Khalid Maqbool Siddiqui refuses to return to cabinet.,"14 Feb, 2020 08:08am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,"Mandatory to show CNIC for purchases of over Rs50,000: FBR",FBR spokesperson says the condition had been waived in July 2019 in an effort to facilitate traders.,"02 Feb, 2020 07:49am"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Newspaper,PM Delivery Unit overrides Ogra law to stop further gas tariff hikes,The move is likely to cast negatively on the ongoing talks with the International Monetary Fund.,"27 Feb, 2020 09:28am"
,,,
,,,
,,,
,,,
Pakistan,This glazed baked chicken will be the star of your dinner party,"Succulent and tender from the inside and golden, glossy and crisp on the outside... sounds eggcellent doesn't it?","02 Feb, 2020 01:00pm"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Business,Editorial: The government is now showing visible signs of aggravated anxiety at the economic situation,It is good to see this government finally stepping up to the responsibilities of rule.,"26 Feb, 2020 07:47am"
World,Jurors will begin deciding Harvey Weinstein's fate in rape trial,A unanimous verdict is needed from the 12 jury members for a conviction.,"18 Feb, 2020 06:00pm"
,,,
,,,
,,,
,,,
,,,
