Story Heading,Story Excerpt,Timestamp,Section
World,Amnesty demands India to release pregnant citizenship law activist,"Zargar, a student at Jamia Milia University, was arrested in connection with February's communal violence in Delhi.","02 May, 2020 01:10pm"
Newspaper,Palestinian kills Israeli soldier in West Bank  ahead of annexation talks,Palestinian security sources say clashes erupted overnight when Israeli forces raided the village.,"13 May, 2020 08:55am"
Newspaper,"Auto vendors warn of layoffs, salary cuts",Leading Japanese assemblers are yet to show the exit gate to their workers and staffers despite production closures.,"01 May, 2020 09:19am"
World,Hong Kong leader tries to reassure investors rattled by China law,"Chief Executive Carrie Lam says the controversial law would ""only target a handful of lawbreakers"".","26 May, 2020 02:56pm"
World,Editorial: India has been using 'terror launch pads' mantra to step up LoC violations,India has been whipping up a frenzy over alleged infiltration from Pakistan.,"05 May, 2020 09:45am"
Newspaper,Big businesses urge furlough system to avoid layoffs,Leading businessmen say labour could survive with 80pc of salary instead of 50pc if govt bears 30pc of additional financial burden.,"28 May, 2020 05:39pm"
Pakistan,JI for ‘uniform policy’ against coronavirus,"Haq says if the lockdown is not beneficial, why are flights, trains and public transport shut down.","05 May, 2020 09:31am"
Pakistan,"30,000 tests per day sufficient, says Asad","Coronavirus cases cross 41,000 mark, with 11,341 of the patients having fully recovered.","18 May, 2020 07:49am"
Newspaper,Art Corner,"Published in Dawn, Young World, May 2nd, 2020","02 May, 2020 06:52am"
Newspaper,Eleven firefighters hurt while running away from blast in Los Angeles,The fire had erupted in a hash oil manufacturer.,"18 May, 2020 10:06am"
World,Asian giant 'murder hornets' spotted for first time in US,"While the giant hornets are typically not harmful to humans, they do pose a great danger to bee populations.","07 May, 2020 02:59pm"
World,"Fire breaks out at UAE residential tower, seven injuries reported",Seven people treated for minor injuries as videos of fire circulate on social media.,"06 May, 2020 12:24pm"
World,India to start limited trains as it looks to ease lockdown amid rising cases,"“Now the world will be pre-corona, post-corona just like the case of the world wars,"" says PM Modi.","12 May, 2020 05:15pm"
World,McDonald's hit with sexual harassment complaint at OECD,"The complaint also targets two investment banks, APG Asset Management of the Netherlands and Norges Bank of Norway.","19 May, 2020 12:18pm"
Pakistan,Opposition requisitions Senate session with virus-related issues on top of agenda,House may see fireworks over Centre-Sindh differences on handling the situation.,"07 May, 2020 09:36am"
Pakistan,SHC seeks Karachi air crash probe report by June 25,Petitioner seeks directions for the PIA to ground all aircraft immediately.,"30 May, 2020 10:09am"
Pakistan,5 ways you might be damaging your skin during Ramazan,Did you know certain habits in Ramazan could have an adverse effect on your skin? Here's what to do about it,"16 May, 2020 12:34pm"
Newspaper,China plans new security law for Hong Kong,"China’s parliament considers it “necessary to improve and uphold the ‘One Country, Two Systems’ policy”.","22 May, 2020 09:57am"
Newspaper,"New tariff policy to reduce duties, says Razak","Ministry of Commerce has identified almost 1,600 tariff lines for duty reduction in the upcoming budget.","27 May, 2020 08:22am"
Newspaper,Six killed over ‘unfair food distribution’ in Afghanistan,"War-ravaged nation has reported 4,033 cases of Covid-19 and 115 deaths.","10 May, 2020 09:47am"
Pakistan,Balochistan’s economic challenges amid Covid-19 discussed,"“The province has to bear economic challenges by next five to six years,"" says CM Kamal.","09 May, 2020 08:21am"
Newspaper,Some Eid in Kashmir,Prize-winning images tell the story of human tragedy unleashed by the Indian state.,"24 May, 2020 06:42pm"
Pakistan,Easing the lockdown before the virus curve falls is risky,Our future hangs in the balance.,"20 May, 2020 11:00am"
Newspaper,FM Qureshi seeks economic relief for poor nations,"“Without immediate actions the developing world may have to contend with dire social, political, economic consequences.”","16 May, 2020 12:23pm"
Newspaper,WHO targets teens on social media to debunk virus myths,"On social media “false stories outperform the truth on every single subject"", says WHO.","02 May, 2020 11:22am"
Newspaper,Ramazan in these testing times,We usually look forward to the holy month of Ramazan with eager anticipation.,"02 May, 2020 06:52am"
World,Women hail victory as Sudan moves to ban genital cutting,Sudan's cabinet has approved amendments to the criminal code to punish those who perform FGM with three years in prison.,"06 May, 2020 10:20am"
Newspaper,"White House fears truth, says Pelosi as deaths, infections rise",Grim predictions overshadow US President Donald Trump’s efforts to reopen the economy.,"06 May, 2020 09:03am"
World,Hong Kong police fire tear gas on biggest protests since virus curbs,"Protesters throng bustling shopping district of Causeway Bay, chant slogans for independence.","25 May, 2020 08:42am"
Pakistan,Sindh opposes train service resumption,"“We will not allow trains to enter Sindh if SOPs are not followed completely,” says provincial transport minister.","19 May, 2020 08:32am"
Pakistan,Govt proposes ‘open vote’ for Senate elections,"39 changes to Constitution, laws suggested to reform electoral process; call for voting right for overseas Pakistanis.","21 May, 2020 08:12am"
Newspaper,Japan approves remdesivir as treatment for Covid-19 patients,The drug was granted authorisation last week by US.,"08 May, 2020 08:43am"
Newspaper,CSA president refuses to back Smith’s support for Ganguly,“We must respect both the ICC protocol and our own protocol in deciding which candidate to back.”,"23 May, 2020 10:22am"
Pakistan,Sindh govt lifts curbs on congregational prayers,Sindh information minister Shah appeals to religious leaders to cooperate with government.,"21 May, 2020 10:46am"
Pakistan,Online art exhibition shows the beauty of old Rawalpindi,"Ahmed Habib's exhibition, titled Saqafati Sure, features 20 acrylic paintings depicting old Rawalpindi’s architecture.","04 May, 2020 11:12am"
Newspaper,Mailbox,Inadequate healthcare to fight Covid-19,"09 May, 2020 04:40am"
Pakistan,5 millenial moms share how they're raising their kids on their own terms,"The Google mom, the office mom, or the mom who leaves her child at her own mom's. Which one do you judge the most?","16 May, 2020 10:08pm"
Newspaper,Taliban attack on Afghan army checkpoint kills six,Afghan Defence Ministry statement says Taliban also suffered casualties but without providing specific figures.,"12 May, 2020 08:42am"
Pakistan,Balochistan reports highest number of Covid-19 cases in a day,89 per cent of total Covid-19 cases in the province are now locally transmitted.,"06 May, 2020 09:24am"
Pakistan,Minister says schools in Sindh not reopening soon despite pressure from associations,Students from class one to eight will be promoted to next level.,"13 May, 2020 09:28am"
Newspaper,Be a fit kid,There’s a lot of talk these days about being healthy and boosting your immunity.,"30 May, 2020 06:50am"
Pakistan,Editorial: It is not too late for Islamabad and Sindh to rise above their spat and work together,The centre-Sindh spat refuses to ebb away.,"06 May, 2020 10:28am"
Pakistan,A survivor's guide to managing Covid-19,Here's how my sister and I survived the infection and lived to tell the tale.,"30 May, 2020 03:37pm"
Newspaper,Remittances fall in Ramazan,Ramazan traditionally has been a month for higher remittances but the coronavirus has reduced the inflows.,"23 May, 2020 09:34am"
Newspaper,The weekly weird,Dog wears a set of false teeth,"02 May, 2020 06:52am"
Pakistan,The holiday season this time is governed by some grim realities that are not easy to ignore,A decision was taken that we are not going to have a lockdown — at least not in the classic sense.,"22 May, 2020 11:02am"
Newspaper,‘US economy in deep trouble’,Data says US may not rebound quickly even when lockdowns imposed to stop the coronavirus pandemic are lifted.,"16 May, 2020 09:55am"
Newspaper,FO urges world to hold India accountable for illegal actions,"Spokesperson Aisha Farooqui rubbishes India's claims of ""infiltration"" by Pakistan.","08 May, 2020 08:37am"
Newspaper,"Remembering humanity’s triumph over smallpox, 40 years on","“Its eradication stands as the greatest public health triumph in history,” says WHO chief Tedros Adhanom.","09 May, 2020 09:53am"
Pakistan,Murad asks KU lab officials to expedite DNA tests of plane crash victims,Lab in-charge says 50 out of 97 bodies have been identified and handed over to their heirs.,"29 May, 2020 10:20am"
Pakistan,Espionage convicts entitled to education remission: PHC,Court rules that remission different from those banned under prison rules.,"29 May, 2020 10:25am"
Pakistan,"16 doctors, nurses isolated at Rawalpindi's BBH after contact with suspected Covid-19 patient","The healthcare professionals came in contact with two patients, one of whom has passed away.","17 May, 2020 11:20am"
Newspaper,"Virus could ‘smoulder’ in Africa, warns WHO","The virus is spreading in Africa, but so far the continent has not seen an explosion in the number of confirmed cases.","09 May, 2020 09:51am"
Newspaper,Touching surfaces not as dangerous as previously thought,"New guidelines issued this week, say “this is not thought to be the main way the virus spreads”.","22 May, 2020 08:13am"
Pakistan,MQM-P demands induction of local people in Karachi police,MQM-P leader Kanwar Naveed Jameel says policemen belonging to interior Sindh are unaware of ground realities of Karachi.,"12 May, 2020 09:27am"
Pakistan,"Stranded Afghans take shelter in mosques, shops near Torkham",Urge authorities to allow them to go back to their country.,"04 May, 2020 10:55am"
Pakistan,PIA gets US permission to repatriate stranded citizens,Special authorisation gra­nt­ed by the US Department of Transportation will be effective from April 29.,"01 May, 2020 08:15am"
Pakistan,PHC closed as coronavirus infects staff members,Two single-member benches to hear bail pleas only until 31st.,"13 May, 2020 09:44am"
Newspaper,"Pietersen concerned about England bowling post-Anderson, Broad","“If Broad and Anderson go, there’s going to be a big, big gap to fill. Do they have the bowlers?""","13 May, 2020 10:19am"
Pakistan,"JSQM-A, two separatist outfits in Sindh banned",The number of outlawed organisations across the country reaches 76.,"12 May, 2020 08:30am"
World,Asia's traffic roars back as lockdowns end,"Asia's megacities back to being traffic-choked, inflicting pollution and enervating daily delays on their residents.","16 May, 2020 06:23pm"
Pakistan,Uplift of tribal districts govt’s top priority: KP CM,KP CM Mahmood Khan says he’s monitoring schemes’ implementation.,"17 May, 2020 10:25am"
Pakistan,PMDC should act on an emergency basis and help Pakistan's healthcare personnel deal with Covid-19,Pakistan's apex healthcare body remains moribund in the face of Covid-19 as countries worldwide help medics.,"03 May, 2020 01:03pm"
Newspaper,India should talk to Taliban if Delhi feels it will help peace push: Pakistan,"US sees Taliban-India parleys as ‘appropriate’; Pakistan says ""it is for India to respond"" to the suggestion.","17 May, 2020 08:40am"
Pakistan,"Virus has killed three journalists, infected 156, says PFUJ",The report highlights that camera journalists and photojournalists have been the biggest sufferers.,"21 May, 2020 08:30am"
Pakistan,The English in our classrooms,Why are the markers of a good education so closely tied with proficiency in English?,"15 May, 2020 10:21am"
Newspaper,Wicket-keeper needs to energise players with constant pep talk in field: Moin,Says a strong temperament is essential for a good wicketkeeper.,"10 May, 2020 11:46am"
Newspaper,Spotlight,Pokemon Journeys: The Series’ on Netflix,"16 May, 2020 06:46am"
Newspaper,"US, other states ponder when to reopen schools",Countries across the globe shut down schools as the coronavirus pandemic gripped the world.,"14 May, 2020 10:41am"
Newspaper,Iraqi parliament okays US sympathiser as PM,Parliament approves new government overnight after last-minute changes to cabinet line-up.,"08 May, 2020 09:10am"
Newspaper,France reopens some beaches,"“If we say we will open the beaches, everyone will descend on them and it will be a terrible crowd.""","14 May, 2020 10:08am"
Newspaper,"China launches rocket, spacecraft prototype",The spaceship will one day transport astronauts to a station that China plans to complete by 2022.,"06 May, 2020 08:28am"
Pakistan,Rs7m package okayed for frontline workers in anti-virus fight in KP,"KP cabinet approves uniform package for legal heirs of officials, who died of Covid-19.","01 May, 2020 10:19am"
Pakistan,Important Pakistani dramas you can catch up on while self-isolating,Because you still should be self-isolating! These shows highlight social issues that plague our society,"12 May, 2020 12:56pm"
Newspaper,"Misbah wants cricket resumption, even if behind closed doors","“It is not an ideal situation for anyone,"" says PCB head coach and chief selector.","09 May, 2020 09:33am"
Pakistan,"Court calls former PMs, Zardari in Toshakhana gifts case","The reference states that Zardari, Nawaz obt­ained cars from Tosha­khana by paying 15pc of actual price.","19 May, 2020 08:30am"
Newspaper,Cricket Australia mulls disinfecting ball to lower health risks,Player health is a major concern as the game seeks to return from the coronavirus shutdown.,"21 May, 2020 09:46am"
Pakistan,The pandemic highlights the need to address longstanding flaws in our governance system,No fault line is ever cast in stone. They can be fixed or overcome.,"11 May, 2020 09:59am"
Pakistan,Man held over Waziristan girls’ video,"Suspect, arrested for recording ""objectionable video"" had gone into hiding after it went viral on social media.","19 May, 2020 10:39am"
Pakistan,Minorities commission discusses problems faced by Muslims in India,Kewalani says followers of all religions are first and foremost Pakistanis.,"15 May, 2020 08:47am"
Pakistan,FIA tags two accused in judge video scam as wanted terrorists,"List includes names of Altaf Hussain, activists of LeT, SSP, ISO, TTP.","28 May, 2020 08:58am"
Newspaper,Three days of rain thwart Florida reopening,"Floridians have received warnings for severe storms, tornadoes and flash floods.","28 May, 2020 09:22am"
Newspaper,"US accuses China, Russia of ‘coordination’ on virus conspiracies","“Even before the Covid-19 crisis we assessed coordination between Russia and China,"" says GEC coordinator.","09 May, 2020 10:24am"
Newspaper,Moody’s puts banks on review amid govt’s weakening support capacity,Action is driven by Moody’s expectation that government will request bilateral official sector debt service relief.,"20 May, 2020 08:23am"
Pakistan,"PM, aides reiterate 'coronavirus situation not bad' in Pakistan",Premier says government will contribute Rs4 for every Rs1 donated to the corona relief fund.,"01 May, 2020 08:05am"
Pakistan,It is not the interests of the poor that animate this government but those of the rich,The poor only get words.,"14 May, 2020 09:11am"
Pakistan,"Flooding, locust threats loom over Pakistan, says NDMA chief","“We will try our best to utilise all the resources available in the country to tackle these threats.""","27 May, 2020 08:11am"
Pakistan,Haripur villagers get emergency support from INGO,Japanese NGO has provided Rs1.078 million emergency support and one-month food package along with sanitation kits.,"05 May, 2020 10:37am"
Pakistan,Work on development projects in Sindh halted because of frozen ADP funds,Govt withholds over Rs8bn payment to around 800 contractors.,"04 May, 2020 10:25am"
Newspaper,FIFA official ponders calendar year season in Europe,"Says football will be ""totally different"" when it restarts.","03 May, 2020 10:21am"
Newspaper,Planned Egypt ‘coronavirus tax’ sparks online criticism,“All governments across the world give out money to their people except for Egypt.”,"23 May, 2020 10:00am"
Pakistan,"Army observing Eid solemnly in solidarity with Kashmiris under 'illegal, inhuman' lockdown: ISPR",COAS says attempt to change Kashmir's disputed status would be responded to by military power.,"24 May, 2020 08:21pm"
Pakistan,Terror convict moves LHC for suspension of sentence,Apellant says he has been in jail for two years but his appeal against the sentence had not been for hearing.,"10 May, 2020 11:36am"
Pakistan,Celebrities dedicate their Eid prayers and wishes to victims of PIA plane crash,They took to social media to express their sorrow and also made sure to remind everyone to stay home and stay safe.,"24 May, 2020 12:23pm"
