Story Heading,Story Excerpt,Timestamp,Section
World,EU's top diplomat expected in Tehran on Monday,His visit comes amid heightened tensions between Iran and the West over Iran's nuclear programme.,"02 Feb, 2020 12:05pm"
Pakistan,Asim Azhar's collaboration with EDM band Krewella is out,Track Paradise is a part of the band's album Zer0.,"02 Feb, 2020 12:04pm"
Newspaper,It's time to ring alarm bells about the dangers of antibiotic overuse,"If antibiotic overuse remains the norm and bugs continue to develop immunity against the drugs, a dark future awaits...","02 Feb, 2020 01:17pm"
World,Philippines reports first coronavirus death outside China as toll rises to over 300,"The coronavirus has infected 14,000 people across China and spread to 24 countries.","02 Feb, 2020 02:51pm"
World,3 killed in shooting at a Toronto Airbnb,"A spokesperson says the dead were young men aged 22, 20 and 19.","02 Feb, 2020 10:26am"
Pakistan,"Public spaces, urban planning and corruption discussed at Adab Fest Day 2","The second edition of the Adab Festival Pakistan kicked off at the Arts Council of Pakistan, Karachi.","02 Feb, 2020 09:59am"
Business,A tone-deaf monetary policy statement?,Dr Mushtaq Khan examines the latest monetary policy statement of the SBP.,"02 Feb, 2020 08:31am"
Pakistan,IHC asks why pro-PTM protesters were booked for sedition,Court summons deputy commissioner and the inspector general of Islamabad police.,"02 Feb, 2020 08:07am"
Pakistan,Ordinance removes flaws from new anti-narcotics law,"Suspected drug peddlers entitled to bail, courts working under CNSA 1997 allowed to hear cases.","02 Feb, 2020 09:59am"
Pakistan,KP’s less than 10pc livestock vaccinated every year,Peshawar facility produces 1.8m doses of foot-and-mouth vaccine annually against 30m needed by province.,"02 Feb, 2020 09:48am"
Pakistan,Editorial: Pragmatism must dictate the state's response in bringing back Pakistanis stranded in China,The coronavirus outbreak poses a serious dilemma for Pakistan.,"02 Feb, 2020 07:29am"
Pakistan,Some battles such as the one against polio need collective ownership regardless of who is in power,What happens when a government is found wanting in crucial areas?,"02 Feb, 2020 07:20am"
Newspaper,COLUMN: BEING DISEMBEDDED,I spent a life-changing year in Khyber Pakhtunkhwa in the 1990s — a visit I have written about a few times for...,"02 Feb, 2020 08:03am"
Newspaper,NON-FICTION: THE LAST EULOGY,Litterateur Harold Bloom’s last book is a gift that his admirers and critics will relate to with equal respect...,"02 Feb, 2020 08:04am"
Newspaper,POETRY: INSPIRED BY FAIZ,The significance of an original collection of Pakistani English poetry lies in its ambition and desire to transcend...,"02 Feb, 2020 08:04am"
Newspaper,FICTION: WHAT'S IN A TRANSLATION?,"From inter-cultural to intra-cultural orientations, the world owes much to those who have translated works of...","02 Feb, 2020 12:32pm"
Newspaper,Stranded in China,The coronavirus outbreak poses a serious dilemma for Pakistan.,"03 Mar, 2020 05:54pm"
Pakistan,Pemra’s latest assault,The only type of regulation that makes sense for internet-based content is self-regulation.,"03 Feb, 2020 08:11pm"
Pakistan,"Online sale, advertisement of tobacco products banned",Govt also stops tobacco firms from displaying posters at sale points.,"02 Feb, 2020 09:43am"
Pakistan,Senate body takes notice of Pemra’s proposal to regulate web TVs,"On Jan 8, Pemra floated a proposal on its website that it wanted to regulate the web TV and OTT content services.","02 Feb, 2020 09:39am"
Pakistan,LHC declares warden who died in accident ‘shaheed’,His family becomes entitled to certain benefits.,"02 Feb, 2020 09:37am"
Pakistan,"Screening clears 1,076 Chinese in Punjab of virus",Seven suspected patients admitted to the high-dependency unit (HDU).,"02 Feb, 2020 09:52am"
Pakistan,Rashid terms Tezgam fire report vague,Says panel of additional general managers will look into it for further action.,"02 Feb, 2020 09:35am"
Newspaper,"Prices of Chinese ginger, garlic go up in view of coronavirus threat",The retailers are charging Rs400 for a kilogram of ginger and garlic compared to Rs320 per kg a few days ago.,"02 Feb, 2020 09:31am"
Pakistan,Alvi-Ismail meeting sends conciliatory vibes to Sindh govt,Governor Ismail also briefs the president on the progress of the federally-funded projects in Karachi.,"02 Feb, 2020 09:29am"
Pakistan,"IGP is mocking provincial govt publicly, Sindh CM Murad complains to PM",The CM writes another letter to the premier asking him to recall Kaleem Imam and post a new police chief.,"02 Feb, 2020 09:33am"
Newspaper,Millions of phones to stop running WhatsApp: report,"Smartphones using Android 2.3.7 and older, and iPhone iOS 8 or older, will be affected by the update.","02 Feb, 2020 09:27am"
Newspaper,Car bombs attack Syrian pro-govt forces in Aleppo,Aleppo city has been under full Syrian government control since 2016.,"02 Feb, 2020 08:58am"
Newspaper,Crews hold blazes back from Australia’s capital,Australia’s bushfire season has killed 33 people and an estimated 1 billion native animals since September.,"02 Feb, 2020 09:08am"
Newspaper,Trump lifts US restrictions on anti-personnel landmines,"White House says the US military will now be free to deploy landmines around the world ""in exceptional circumstances"".","02 Feb, 2020 09:11am"
Newspaper,Britain embarks on its future outside EU,Little has changed yet as the UK is now in an 11-month transition period negotiated as part of the divorce.,"02 Feb, 2020 09:00am"
Newspaper,Djokovic to defend Melbourne Park fortress against Thiem,"The raging pre-tournament favourite, Djokovic will bid for a record-extending eighth title at Melbourne Park.","02 Feb, 2020 10:20am"
Newspaper,Kenin in dreamland after stunning Australian Open win,The 14th seed will now jump to seventh in the world and usurp Serena Williams as America’s number one.,"02 Feb, 2020 10:13am"
Newspaper,Women’s cricket heading in right direction under current PCB regime: Urooj Mumtaz,"""We at the PCB are striving to create the best possible environment for the women cricket to flourish,"" she says.","02 Feb, 2020 10:17am"
Newspaper,"Leicester City, Chelsea share spoils after Rudiger’s late leveller",Rudiger becomes the first defender to score a brace for Chelsea in the PL since Terry against Fulham in 2013.,"02 Feb, 2020 10:19am"
Newspaper,"India relaxes fiscal deficit target, cuts taxes to spur growth",Finance Minister Nirmala Sitharaman announces the changes as part of the country’s annual budget in parliament.,"02 Feb, 2020 08:47am"
Newspaper,Tech Talk: Paperless contracts,The startup was founded in 2015 by two lawyers.,"02 Feb, 2020 10:22am"
Newspaper,Bearish week on stock market,"KSE-100 index records a steep drop of 1,002 points (2.4 per cent) and settles below the 42,000-level at 41,631.","02 Feb, 2020 08:44am"
Newspaper,Pakistan urged to explore gas resources,US think tank says the country has petroleum resources of 164m barrels of oil and 24.6tr cubic feet of natural gas.,"02 Feb, 2020 08:41am"
Newspaper,FBR report finds high-ranking officials involved in large-scale corruption,The misdeclarations at several collectorates were detected a few months ago.,"02 Feb, 2020 02:17pm"
Pakistan,Movement of Chinese working at Saindak project restricted,At present 280 Chinese are working in Saindak.,"02 Feb, 2020 09:54am"
Pakistan,Court summons complainants in MQM hate speech cases,"On Saturday, the IOs failed to produce the witnesses who had lodged the identical FIRs to record their testimonies.","02 Feb, 2020 08:26am"
Pakistan,Leak of CJP’s security protocol on social media angers PBC,"PBC's vice chairman Abid Saqi describes the leak as the ""most irresponsible handling"" of the vital issues involved.","02 Feb, 2020 08:06am"
Pakistan,World Bank plans to finance Sindh education project,Programme envisages upgrade of 900 dilapidated schools in 10 districts.,"02 Feb, 2020 08:14am"
Pakistan,Lawyer asks SC to let SJC complete probe against Isa,A full court is seized with a set of petitions challenging the filing of the presidential reference against Justice Isa.,"02 Feb, 2020 08:22am"
Pakistan,Govt slammed over record hike in public debt,"PML-N terms Naya Pakistan as ""extremely indebted"", ""alarmingly impoverished""; PPP says PTI is ruining institutions.","02 Feb, 2020 08:16am"
Newspaper,"Mandatory to show CNIC for purchases of over Rs50,000: FBR",FBR spokesperson says the condition had been waived in July 2019 in an effort to facilitate traders.,"02 Feb, 2020 07:49am"
Pakistan,"PTI faces danger from its own people, not allies: Shujaat","""Our party is no doubt small but has experience as we have ruled with a two-thirds majority,"" he says.","02 Feb, 2020 08:19am"
Newspaper,US special envoy in Kabul for peace talks,"Zalmay Khalilzad held talks with President Ashraf Ghani, according to the Afghan leader’s spokesman.","02 Feb, 2020 09:17am"
Pakistan,"Provinces told to act against hoarders, profiteers","""No impediment will be tolerated against the prime minister’s vision of accountability for all,"" says Awan.","02 Feb, 2020 08:00am"
Pakistan,"Behind bars for 197 days, Shahid Khaqan Abbasi seeks bail in LNG reference",The bail plea will be heard by a division bench of the IHC on Monday.,"02 Feb, 2020 07:54am"
Newspaper,"January inflation surges to 14.6pc, highest in 12 years",High food prices are the largest driver of overall inflation.,"02 Feb, 2020 07:06am"
World,"3 Pakistanis, Macedonian man charged for allegedly holding migrants to ransom",The men were believed to have behaved in a “particularly degrading and cruel” manner to the 12 migrants: prosecutor.,"03 Feb, 2020 11:23pm"
Pakistan,"MQM forced police to halt investigations into Baldia factory fire, prosecutor tells court","The police high-ups changed the first investigating officer allegedly under pressure from MQM, says Sajid Shaikh.","03 Feb, 2020 10:50pm"
Pakistan,Another Karachi resident sets himself on fire ‘due to poverty’,This is the second incident of self-immolation in Karachi in a month.,"03 Feb, 2020 11:31pm"
Sport,Future cricket stars on show as Pakistan meet India in Under 19 World Cup,"For all players at U-19 WC, there remains the dream of doing enough to start forging a professional career in the game.","03 Feb, 2020 08:47pm"
Pakistan,"Sialkot police register case against sub-inspector for torturing maid, her brother","The siblings were beaten and gravely injured by police, family says.","03 Feb, 2020 08:51pm"
Pakistan,Teeli has a new web series coming out about women in Pakistan,The four-episode series is called superheroes.,"03 Feb, 2020 07:30pm"
World,(Anti)-Anti-CAA: Delhi protesters shot at third time in four days,"No injuries reported, FIR registered against two unknown persons.","03 Feb, 2020 06:32pm"
World,Brexit trade deal clash: UK and EU begin sparring over rules,"EU leaders say the further Britain diverges from their rules, the less access it will have to the EU market.","03 Feb, 2020 06:14pm"
Pakistan,7 Pakistani actors who could believably appear in Money Heist,"When rumours started circulating that Humayun Saeed was going to appear in the Netflix series, it got us thinking...","03 Feb, 2020 05:09pm"
,"After intense debate, Senate rejects bill proposing increase in lawmakers' salaries","Bill sought to increase salaries of parliament members from Rs150,000 to Rs300,000.","03 Feb, 2020 08:38pm"
Business,"Stocks dive over 1,200 points as investors react to 12-year-high inflation reading","Analyst says fiscal side looking very difficult for govt to manage, predicts delay in monetary loosening.","03 Feb, 2020 07:12pm"
Pakistan,Filmmaker Shehzad Hameed is working on a documentary on climate change,The film will also show the rapid meltdown of Pakistan's Himalaya mountains.,"03 Feb, 2020 04:53pm"
World,"OIC rejects Trump's Mideast plan, tells member states not to 'enforce it in any way or form'","Trump's plan ""does not meet the minimum aspirations and legitimate rights of the Palestinian people"", says OIC.","03 Feb, 2020 04:42pm"
World,US demands more from Afghan Taliban on ceasefire before deal,Pompeo demands “demonstrable evidence” from Taliban that they can and will reduce violence before signing an accord.,"03 Feb, 2020 04:07pm"
World,Jennifer Lopez and Shakira bring Latina star power to Super Bowl stage,"Latin artists Bad Bunny and J Balvin, in addition to Lopez’s 11-year-old daughter, appeared as surprise guests.","03 Feb, 2020 03:36pm"
Pakistan,"Private sector should invest in Balochistan's tourism, says CM Jam Kamal","""We need to tell people Balochistan is safe,"" says chief minister while addressing a tourism seminar in Karachi.","03 Feb, 2020 02:41pm"
